,Bahan
86,"['cabai rawit merah', 'lalap', 'telur', 'merica bubuk', 'kaldu ayam bubuk', 'bawang putih', 'tepung', 'serbaguna']"
87,"['cabai rawit merah', 'cabai merah keriting', 'jeruk nipis', 'kaldu ayam bubuk', 'putih', 'bawang merah', 'serai', 'ceker ayam']"
88,"['wijen', 'tepung terigu', 'ragi', 'butter', 'kuning telur', 'putih', 'susu']"
89,"['plain', 'kelapa', 'daging sapi', 'kelapa muda', 'pasta', 'susu kental manis', 'keju', 'nata de coco', 'keruk', 'beserta', 'kaleng', 'pandan', 'sagu mutiara', 'susu evaporasi']"
90,"['kembang tahu', 'tepung maizena', 'wijen', 'saus tiram', 'ayam', 'ngohiong', 'telur', 'kecap asin', 'merica bubuk', 'daun bawang', 'udang', 'bawang putih', 'wortel']"
91,"['kembang tahu', 'wijen', 'tepung maizena', 'saus tiram', 'ayam', 'ngohiong', 'kecap asin', 'merica bubuk', 'kecap ikan', 'daun bawang', 'bawang putih', 'bawang merah', 'wortel']"
92,"['balado', 'bawang putih', 'singkong']"
93,"['cabai merah', 'cabai rawit', 'kemiri', 'tomat', 'bawang putih', 'bawang merah', 'kaldu bubuk', 'merah', 'daun kemangi', 'ikan tongkol']"
94,"['tepung terigu', 'usus ayam', 'bawang putih', 'kaldu bubuk', 'ketumbar', 'tepung beras']"
95,"['telur ayam', 'wijen', 'bayam', 'kecap asin', 'merica bubuk', 'timun', 'nasi putih', 'nori', 'daging sapi']"
96,"['daun jeruk', 'kecap manis', 'jahe', 'daun bawang', 'cabai merah', 'cabai rawit', 'bawang putih', 'bawang merah', 'ceker ayam']"
97,"['baking powder', 'sirup', 'tepung terigu', 'telur', 'strawberry', 'maple', 'margarin', 'susu']"
98,"['cabai rawit merah', 'terasi', 'muda', 'kacang tanah', 'asam jawa', 'mangga', 'merah']"
99,"['cabai rawit merah', 'kencur', 'cabai merah keriting', 'bakso', 'instant', 'kerupuk', 'mie', 'hijau', 'bawang putih', 'bawang merah', 'sawi']"
100,"['jumbo', 'sosis', 'saus sambal', 'saus tomat', 'merica bubuk', 'barbeque', 'sate', 'margarin', 'saus']"
