,Bahan
383,"['ayam', 'lengkuas', 'merica bubuk', 'cabai merah', 'jahe', 'kunyit', 'tomat', 'bawang putih', 'bawang merah', 'merah']"
384,"['ayam', 'lengkuas', 'santan', 'daun', 'cabai merah', 'cabai rawit', 'kunyit', 'setan', 'kemiri', 'bawang putih', 'bawang merah', 'serai']"
385,"['saus tiram', 'lengkuas', 'cabai rawit', 'setan', 'udang', 'pare', 'bawang putih', 'tempe']"
386,"['tepung maizena', 'tepung terigu', 'kelapa muda', 'ragi', 'daun pandan', 'santan', 'putih', 'merah']"
387,"['mi', 'cabai merah keriting', 'merica', 'andaliman', 'santan', 'kunyit', 'hijau', 'udang', 'bawang putih', 'bawang merah', 'serai', 'batak', 'sawi']"
388,"['terasi', 'cabai hijau', 'labu siam', 'daun salam', 'cabai merah', 'bawang putih', 'bawang merah', 'lengkuas', 'tempe']"
389,"['cabai rawit merah', 'kaldu jamur', 'serai', 'ayam', 'cabai merah keriting', 'daun jeruk', 'jeruk nipis', 'cabai merah', 'putih', 'cuka', 'tomat', 'bawang merah', 'lengkuas']"
390,"['daging sapi', 'beras ketan', 'daun pandan', 'beserta', 'biji', 'santan', 'merah']"
391,"['lada', 'ayam', 'daun jeruk', 'jeruk nipis', 'jahe', 'kunyit', 'kemiri', 'putih', 'bawang putih', 'jinten', 'serai', 'lengkuas', 'kencur', 'ketumbar']"
392,"['terasi', 'ayam', 'jeruk limau', 'daun salam', 'cabai merah', 'cabai rawit', 'kunyit', 'bawang putih', 'bawang merah', 'serai', 'merah', 'ketumbar']"
393,"['daging sapi', 'daun jeruk', 'asam jawa', 'cabai merah', 'jahe', 'cabai rawit', 'kecap manis', 'bawang putih', 'serai']"
394,"['lada bubuk', 'saus tiram', 'daun salam', 'cabai merah', 'kecap manis', 'tahu', 'putih', 'bawang putih', 'bawang merah', 'lengkuas', 'tempe']"
395,"['tauge', 'saus tiram', 'lengkuas', 'daun bawang', 'tomat', 'bawang putih', 'bawang merah', 'tempe']"
396,"['lada bubuk', 'kaldu jamur', 'serai', 'daun jeruk', 'jeruk nipis', 'cengkeh', 'daun bawang', 'seledri', 'bawang merah', 'ceker ayam']"
397,"['kacang hijau', 'kelapa', 'kacang tanah', 'beras ketan', 'daun pandan', 'santan', 'jahe', 'sagu mutiara']"
398,"['daging sapi', 'paprika hijau', 'saus tiram', 'dada ayam', 'paprika merah', 'kecap manis', 'bawang putih']"
399,"['plain', 'pasta', 'tepung terigu', 'telur', 'pandan', 'coklat bubuk', 'serbaguna', 'susu full cream']"
400,"['vanili', 'tepung terigu', 'instant', 'bubuk', 'santan', 'warna', 'pisang raja', 'tepung tapioka', 'hijau']"
401,"['lada bubuk', 'cabai merah keriting', 'labu siam', 'instant', 'bubuk', 'daun salam', 'santan', 'lontong', 'kemiri', 'kunyit', 'bawang putih', 'bawang merah', 'serai', 'merah', 'kaldu sapi']"
402,"['cabai rawit merah', 'saus tiram', 'cabai merah keriting', 'cabai hijau', 'daun salam', 'jeruk nipis', 'tahu cina', 'cabai merah', 'tomat', 'udang', 'bawang putih', 'lengkuas']"
403,"['lada', 'bihun', 'dada ayam', 'kaldu ayam bubuk', 'bunga sedap malam', 'daun bawang', 'bawang putih', 'bawang merah', 'wortel', 'lunak']"
404,"['ketan hitam', 'ragi']"
405,"['ketan hitam', 'ragi', 'daun pisang', 'lontong', 'beras ketan putih']"
406,"['ikan salai', 'garing', 'cabai merah keriting', 'limau', 'sundai', 'biji', 'tomat', 'bawang merah', 'api']"
407,"['tepung terigu', 'telur', 'susu bubuk', 'santan', 'ubi jalar', 'emulsifier']"
408,"['lada bubuk', 'tepung roti', 'telur', 'bawang putih bubuk', 'keju mozarella', 'tepung panir']"
409,"['bawang merah', 'ayam', 'daun jeruk', 'lengkuas', 'daun salam', 'jahe', 'kemiri', 'kaldu bubuk', 'bawang putih', 'daun bawang']"
410,"['tepung sagu', 'bawang putih']"
411,"['telur ayam', 'wijen', 'putih', 'tepung terigu']"
412,"['lada bubuk', 'wijen', 'saus tiram', 'ayam', 'saus sambal', 'bakso', 'kecap asin', 'mie', 'kecap manis', 'kecap ikan', 'bawang putih']"
413,"['susu kental manis', 'naga', 'strawberry', 'biji', 'batu']"
414,"['sitrat', 'renin', 'rennet', 'asam', 'susu sapi']"
415,"['lada bubuk', 'kelapa', 'daging sapi', 'lengkuas', 'pala bubuk', 'cabai merah', 'jahe', 'kemiri', 'bawang putih', 'bawang merah', 'ketumbar']"
416,"['wijen', 'sayur', 'tepung terigu', 'soda kue', 'ragi', 'hitam']"
417,"['cokelat', 'kacang tanah', 'susu kental manis', 'roti tawar', 'meises', 'merah', 'kulit', 'sagu mutiara']"
418,"['bawang merah', 'daging sapi', 'kerang', 'daun jeruk', 'lengkuas', 'cabai merah', 'jahe', 'asam', 'bawang putih', 'sate', 'serai', 'merah']"
419,"['lada', 'saus tiram', 'ayam', 'jeruk nipis', 'kecap manis', 'hitam', 'kaldu bubuk', 'bawang bombay', 'bawang putih', 'saus tomat']"
420,"['muda', 'kacang tanah', 'cabai merah keriting', 'pepaya', 'nangka', 'lengkuas', 'jagung', 'kacang', 'daun salam', 'asam jawa', 'kaldu bubuk', 'bawang merah']"
421,"['tepung terigu', 'essens', 'vanilla', 'butter', 'kacang almond', 'kuning telur', 'susu']"
422,"['wijen', 'vanili', 'telur', 'santan', 'tepung beras', 'hitam', 'kental']"
423,"['merah', 'kelapa', 'tepung beras']"
424,"['lemon', 'jeruk nipis', 'susu']"
425,"['madu', 'lada', 'saus tiram', 'jahe', 'sayap ayam', 'hitam', 'kaldu bubuk', 'bawang putih']"
426,"['sedap', 'cabai hijau', 'dada ayam', 'cabai rawit', 'tomat', 'bawang putih', 'bawang merah']"
427,"['terasi', 'wijen', 'tepung terigu', 'ayam', 'jeruk nipis', 'kecap ikan', 'bawang putih', 'bawang merah']"
428,"['daun pandan', 'kayu manis', 'biji', 'cengkeh', 'pisang', 'merah']"
429,"['talam', 'kacang kenari', 'telur bebek']"
430,"['cabai rawit merah', 'terasi', 'cabai merah keriting', 'kacang', 'terong', 'hijau', 'tomat', 'bawang putih', 'bawang merah', 'lenjer', 'kencur']"
431,"['tepung terigu', 'ragi', 'susu bubuk', 'kuning telur', 'singkong']"
432,"['tape singkong', 'tepung beras', 'tepung terigu', 'santan']"
433,"['jawa', 'kunyit', 'asam jawa']"
434,"['tepung sagu', 'kelapa muda', 'tani', 'singkong', 'jawa']"
435,"['jahe', 'beras', 'kencur', 'jawa']"
436,"['margarin', 'tepung terigu']"
437,"['hati', 'sandung lamur', 'daun jeruk', 'usus', 'daun salam', 'babat', 'kayu manis', 'paru', 'bunga lawang', 'cengkeh', 'bawang putih', 'serai', 'daging sapi', 'kapulaga', 'jeroan sapi']"
438,"['ayam', 'daun jeruk', 'daun salam', 'santan', 'cabai merah', 'jahe', 'kunyit', 'udang', 'bawang putih', 'bawang merah', 'serai', 'punggung']"
439,"['bawang bombay', 'tulang kaki sapi', 'lada', 'urat sapi', 'putih telur', 'tepung tapioka', 'bawang putih', 'sengkel', 'daging sapi']"
440,"['tepung sagu', 'tahu putih', 'tulang ayam', 'tahu kuning', 'daun bawang', 'udang', 'bawang putih', 'bawang merah', 'ikan tenggiri', 'merica']"
441,"['roti john', 'lada bubuk', 'saus sambal', 'keju', 'ayam', 'mayonnaise', 'telur', 'daun bawang', 'bawang bombay', 'saus tomat', 'margarin']"
442,"['telur ayam', 'wijen', 'tepung terigu', 'bawang', 'kulit pangsit', 'merica bubuk', 'jahe', 'daun bawang', 'ayam', 'udang', 'bawang putih', 'wortel', 'tepung kanji']"
443,"['mentega', 'cooking', 'tepung terigu', 'susu kental manis', 'bubuk', 'telur', 'whipping cream', 'sp', 'coklat bubuk', 'chocolate', 'dark', 'margarin', 'susu full cream']"
444,"['mentega', 'cooking', 'susu kental manis', 'bubuk', 'whipping cream', 'biskuit oreo', 'chocolate', 'dark', 'susu full cream']"
445,"['cabai rawit merah', 'terasi', 'sayur', 'jeruk limau', 'bawang putih', 'bawang merah', 'bunga kecombrang']"
446,"['lada bubuk', 'pala bubuk', 'jahe', 'daun bawang', 'cengkeh', 'seledri', 'bawang putih', 'wortel', 'kentang', 'buntut sapi']"
447,"['tepung sagu', 'kelapa', 'tepung terigu', 'soda kue', 'telur']"
448,"['tauge', 'tepung maizena', 'tepung terigu', 'kol', 'udang', 'bawang putih', 'kaldu bubuk', 'wortel']"
449,"['inggris', 'saus tiram', 'merica', 'margarin', 'jeruk nipis', 'kecap manis', 'udang', 'bawang putih', 'bawang bombay', 'hitam', 'saus tomat', 'saus']"
450,"['madu', 'baking powder', 'tepung terigu', 'pisang tanduk']"
451,"['bawang merah', 'lada bubuk', 'tauge', 'telur', 'mie', 'cabai merah', 'kecap manis', 'daun bawang', 'ayam', 'nasi putih', 'bawang putih', 'caisin']"
452,"['bawang merah', 'lengkuas', 'daun salam', 'jahe', 'kemiri', 'kunyit', 'putih', 'merah', 'asam', 'bawang putih', 'serai', 'bebek']"
453,"['vanilla', 'nanas', 'tepung terigu', 'tepung beras']"
454,"['lada bubuk', 'jeruk nipis', 'jahe', 'kemiri', 'kunyit', 'bawang putih', 'ikan lele', 'ketumbar']"
455,"['lemon', 'bubuk', 'naga', 'nanas', 'merah']"
456,"['wijen', 'saus tiram', 'keruk', 'sayap', 'kecap manis', 'sayap ayam', 'ayam', 'tepung tapioka', 'bawang putih', 'bawang merah', 'kaldu bubuk', 'merica']"
457,"['tepung sagu', 'lada bubuk', 'tepung terigu', 'telur', 'putih telur', 'wortel', 'bawang bombay', 'batu', 'ikan tenggiri', 'bawang putih']"
458,"['lada bubuk', 'muda', 'tepung maizena', 'ayam', 'jahe', 'bawang putih']"
459,"['tepung terigu', 'daun pandan', 'telur bebek', 'aren']"
460,"['telur ayam', 'tepung terigu', 'susu bubuk', 'pisang', 'margarin']"
461,"['sedap', 'kelapa', 'cabai keriting', 'lengkuas', 'kayu manis', 'cengkeh', 'asam', 'bawang putih', 'bawang merah', 'merah', 'kaldu sapi', 'daging sapi']"
462,"['ketumbar bubuk', 'ayam', 'keriting', 'cabai hijau', 'lengkuas', 'daun salam', 'daun kari', 'bawang putih', 'merica']"
463,"['kacang tanah', 'daun pandan', 'merah', 'margarin', 'pisang kepok']"
464,"['delima', 'oat', 'chia', 'instant', 'naga', 'biji', 'merah', 'tawar', 'yogurt', 'susu']"
465,"['sukade', 'tepung terigu', 'kismis', 'bubuk', 'buah cherry', 'butter', 'telur', 'spekoek', 'kayu manis', 'kacang almond', 'warna', 'kacang mede', 'hijau', 'manis', 'warni', 'baking powder']"
466,"['saus tiram', 'ayam', 'jeruk nipis', 'merica bubuk', 'kecap inggris', 'bawang putih', 'bawang bombay', 'saus tomat']"
467,"['mentega', 'brown sugar', 'tepung terigu', 'bubuk', 'telur', 'kuning', 'kayu manis', 'kurma', 'putih', 'spekoek']"
468,"['mentega', 'brown sugar', 'tepung terigu', 'essens', 'kismis', 'telur', 'kuning', 'vanila', 'putih', 'baking powder']"
469,"['wijen', 'saus tiram', 'ayam kampung', 'kecap asin', 'jeruk nipis', 'jahe', 'daun bawang', 'bawang putih', 'bawang bombay']"
470,"['kunci', 'tepung maizena', 'butter cream', 'biru', 'telur', 'jeruk nipis', 'putih telur', 'warna', 'kuning telur', 'tepung', 'susu']"
471,"['cookies', 'cake', 'lollipop', 'cream cheese', 'butter cream', 'susu kental manis', 'ganache', 'kue', 'warna', 'fondant', 'sate', 'krim', 'cokelat', 'warni']"
472,"['cabai rawit merah', 'muda', 'kerupuk krecek', 'pepaya', 'bawang', 'lengkuas', 'daun salam', 'santan', 'kemiri', 'bawang putih', 'bawang merah', 'biar', 'merah', 'tempe']"
473,"['tepung terigu', 'roti tawar', 'telur', 'merica bubuk', 'udang']"
474,"['tepung maizena', 'tepung terigu', 'cabai merah', 'cabai rawit', 'daun bawang', 'udang', 'bawang putih']"
475,"['tepung tapioka', 'udang', 'bawang putih', 'daun pisang']"
476,"['raising', 'vanili', 'tepung terigu', 'self', 'butter', 'flour', 'kristal']"
477,"['coklat putih', 'tepung terigu', 'telur', 'kuning', 'vanila', 'warna', 'perisa', 'sp', 'hijau', 'pisang', 'margarin']"
478,"['bawang merah', 'kol', 'bakso', 'telur', 'kaldu', 'mie', 'hijau', 'tomat', 'nasi putih', 'bawang putih', 'wortel', 'sawi']"
479,"['lada bubuk', 'lingkar', 'tahu putih', 'jamur kuping', 'paprika hijau', 'teriyaki', 'kecap asin', 'bawang putih', 'bawang bombay', 'kulit', 'lunak', 'saus']"
480,"['mentega', 'tepung terigu', 'ragi', 'bubuk', 'kuning telur', 'taro', 'tawar', 'ubi ungu', 'susu']"
481,"['daun seledri', 'lada bubuk', 'daging sapi', 'telur', 'jagung', 'pala bubuk', 'daun bawang', 'bawang putih', 'bawang bombay', 'wortel', 'kepiting', 'kaldu bubuk', 'tepung maizena', 'margarin']"
482,"['tepung terigu', 'butter', 'susu bubuk', 'kuning telur', 'castor', 'susu']"
483,"['keriting', 'cabai hijau', 'gendot', 'lengkuas', 'tulang jambal roti', 'tomat hijau', 'cabai', 'bawang putih', 'bawang merah', 'daun kemangi']"
484,"['saus tiram', 'cabai hijau', 'serai', 'daun salam', 'jeruk nipis', 'daun', 'jahe', 'bawang putih', 'bawang merah', 'ikan tongkol', 'daun kemangi']"
485,"['saus tiram', 'cabai merah keriting', 'cabai hijau', 'lengkuas', 'jambal roti', 'cabai rawit', 'bawang putih', 'bawang merah', 'serai', 'merah']"
486,"['mentega', 'lemon', 'tepung terigu', 'bubuk', 'kayu manis', 'palem', 'apel', 'korsvet', 'tepung maizena', 'margarin']"
487,"['keju cheddar', 'tepung terigu', 'butter', 'kuning telur', 'korsvet', 'tawar', 'susu']"
488,"['tepung terigu', 'dada ayam', 'telur puyuh', 'korsvet', 'bawang putih', 'bawang bombay', 'wortel']"
489,"['bawang merah', 'tepung sagu', 'tepung terigu', 'telur puyuh', 'didih', 'kacang', 'kaldu bubuk', 'bawang putih', 'daun seledri', 'ikan tenggiri']"
490,"['ikan tongkol', 'daun kunyit', 'daun jeruk', 'jeruk nipis', 'santan', 'jahe', 'kemiri', 'kunyit', 'asam kandis', 'bawang putih', 'bawang merah', 'ikan']"
491,"['tepung terigu', 'biru', 'bubuk', 'kuning', 'santan', 'vanila', 'warna', 'hijau', 'ungu', 'tepung maizena', 'merah', 'oranye']"
492,"['ikan gurame', 'asam jawa', 'daun salam', 'jeruk nipis', 'cabai merah', 'jahe', 'kemiri', 'kunyit', 'bawang putih', 'bawang merah', 'merah', 'ikan']"
493,"['tepung sagu', 'tepung terigu', 'kaldu ayam', 'tani', 'ebi', 'merica bubuk', 'daun bawang', 'ayam', 'ceker ayam']"
494,"['madu', 'ikan gurame', 'merica', 'lengkuas', 'jeruk nipis', 'jahe', 'kunyit', 'bawang putih', 'margarin', 'ketumbar', 'ikan']"
495,"['cabai rawit merah', 'bawang putih', 'bawang merah']"
496,"['cabai rawit merah', 'muda', 'mangga', 'merah']"
497,"['cabai rawit merah', 'jeruk', 'limo', 'kecap manis', 'bawang putih', 'bawang merah']"
498,"['kelapa', 'lengkuas', 'daun salam', 'beras', 'bawang putih', 'merah', 'ketumbar']"
499,"['sate', 'ketumbar bubuk', 'jeruk', 'kacang tanah', 'bubuk', 'rawit', 'lengkuas', 'sambal', 'kecap manis', 'cabai merah', 'kemiri', 'ayam', 'jinten', 'bawang putih', 'bawang merah', 'merah', 'merica', 'margarin']"
500,"['bawang merah', 'cabai rawit merah', 'kaldu', 'jeruk nipis', 'biji', 'bawang putih bubuk', 'kecap manis', 'tomat', 'daging ikan', 'sate', 'ikan tongkol', 'merah']"
501,"['tauge', 'kacang tanah', 'cabai merah', 'kecap manis', 'tahu', 'timun', 'daun bawang', 'seledri', 'nasi putih', 'bawang merah', 'bawang putih', 'tempe']"
502,"['bawang merah', 'daun selada', 'ebi', 'jeruk nipis', 'ikan nila', 'sawi', 'daun bawang', 'kecap ikan', 'bawang putih', 'kaldu bubuk', 'asin', 'merica']"
503,"['wijen', 'telur', 'merica bubuk', 'cabai rawit', 'daun bawang', 'bawang putih', 'biar', 'daging sapi']"
504,"['daun kunyit', 'cabai merah keriting', 'lengkuas', 'kacang', 'jeruk nipis', 'ikan nila', 'santan', 'jahe', 'kemiri', 'kunyit', 'cabai rawit', 'bawang putih', 'bawang merah']"
505,"['tulang kambing', 'iga kambing', 'kaki kambing', 'bawang', 'lengkuas', 'daun salam', 'cabai rawit', 'kecap manis', 'jeroan kambing', 'bawang putih', 'bawang merah', 'serai']"
506,"['bawang bombay', 'lada', 'saus tiram', 'bawang', 'dada ayam', 'kecap asin', 'mie', 'kecap manis', 'daun bawang', 'kecap ikan', 'bawang putih', 'bakso ayam']"
507,"['mentega', 'tepung terigu', 'soda kue', 'ragi', 'kering', 'bubuk', 'parsley', 'kuning telur', 'keju parmesan']"
508,"['itik', 'daun kunyit', 'cabai hijau', 'daun jeruk', 'lengkuas', 'jeruk nipis', 'santan', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'bebek', 'merica', 'ketumbar']"
509,"['bawang bombay', 'tepung sagu', 'sayur', 'saus tiram', 'kecap asin', 'masak', 'bengkuang', 'daun bawang', 'tangmien', 'udang', 'wortel', 'bawang putih', 'tepung', 'didih']"
510,"['kluwek', 'daun jeruk', 'lengkuas', 'jeruk nipis', 'cabai rawit', 'jahe', 'tomat', 'ikan gabus', 'bawang putih', 'serai']"
511,"['tauge', 'kacang tanah', 'tahu putih', 'asam jawa', 'ketupat', 'mie', 'cabai rawit', 'kecap manis', 'seledri', 'bawang putih', 'merah']"
512,"['plain', 'jelly', 'bubuk', 'green tea', 'tawar', 'susu sapi', 'susu kedelai']"
513,"['daun kunyit', 'cabai keriting', 'daun jeruk', 'ikan kakap', 'lengkuas', 'jeruk nipis', 'santan', 'daun', 'cabai rawit', 'jahe', 'asam kandis', 'bawang putih', 'bawang merah', 'ruku']"
514,"['telur ayam', 'tepung sagu', 'wijen', 'tepung terigu', 'telur', 'daun pisang', 'daun bawang', 'ayam', 'bawang putih', 'wortel', 'giling']"
515,"['cabai rawit merah', 'jeruk nipis', 'biji', 'cabai merah', 'jahe', 'kunyit', 'kemiri', 'ikan bandeng', 'tomat', 'bawang putih', 'bawang merah', 'merah']"
516,"['terasi', 'ayam kampung', 'lengkuas', 'daun salam', 'santan', 'cabai rawit', 'cabai merah', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'jawa']"
517,"['tepung sagu', 'saus tiram', 'kering', 'ebi', 'kol', 'kecap manis', 'daun bawang', 'bawang putih', 'bawang merah', 'mie kuning', 'merica', 'kaldu sapi']"
518,"['baking powder', 'vanili', 'tepung terigu', 'keju', 'pisang ambon', 'masak', 'esens', 'tepung tapioka', 'cokelat', 'margarin', 'susu', 'tepung beras']"
519,"['sawi putih', 'lengkuas', 'daun salam', 'cabai merah', 'bakso sapi', 'bawang putih', 'kaldu bubuk']"
520,"['tepung terigu', 'telur', 'kuning telur', 'margarin', 'serbaguna']"
521,"['madu', 'brown sugar', 'lada', 'butter', 'saus tomat', 'kecap asin', 'mustard', 'kecap manis', 'palem', 'paha ayam', 'bawang putih', 'barbeque', 'hitam', 'saus', 'rosemary', 'margarin']"
522,"['mentega', 'coklat putih', 'tepung terigu', 'essen', 'telur', 'kuning', 'pisang ambon', 'warna', 'meises', 'tepung', 'pisang', 'cokelat', 'margarin', 'susu']"
523,"['telur ayam', 'keju cheddar', 'sosis', 'cheddar', 'margarin', 'keju mozarella', 'paprika', 'jamur champignon', 'merica', 'susu', 'bawang bombay']"
524,"['lada bubuk', 'mentega', 'tepung maizena', 'kaldu jamur', 'saus tiram', 'jeruk nipis', 'kecap manis', 'jahe', 'kecap inggris', 'bawang putih', 'saus tomat', 'cumi', 'ikan']"
525,"['kayu manis', 'teh', 'bunga lawang', 'cengkeh', 'hitam', 'batu', 'susu full cream']"
526,"['kapulaga', 'jamur kuping', 'ayam', 'kayu manis', 'pala bubuk', 'bunga lawang', 'daun bawang', 'brokoli', 'hitam', 'baby', 'tomat', 'wortel', 'seledri', 'bunga lawang', 'merah', 'lunak', 'kolcuciwis']"
527,"['bawang bombay', 'has', 'jeruk', 'lemon', 'daging sapi', 'tepung terigu', 'bubuk kari', 'bubuk', 'kunyit', 'bawang putih', 'susu', 'zaitun']"
528,"['bawang bombay', 'saus tiram', 'lidah sapi', 'daun jeruk', 'lengkuas', 'daun salam', 'jahe', 'brokoli', 'bunga lawang', 'tomat', 'kentang']"
529,"['tauge', 'kacang tanah', 'cabai merah keriting', 'tahu jepang', 'kecap manis', 'kol', 'cabai rawit', 'bawang putih', 'bawang merah', 'jawa']"
530,"['plain', 'whip', 'arumanis', 'cream', 'mangga', 'putih', 'yogurt']"
531,"['sedap', 'cabai rawit merah', 'daun jeruk', 'asam jawa', 'biji', 'cabai merah', 'kapur sirih', 'bawang putih', 'kentang']"
532,"['terasi', 'cabai merah keriting', 'petai', 'ebi', 'biji', 'tomat', 'bawang putih', 'bawang merah', 'merah', 'mata']"
533,"['terasi', 'cabai merah keriting', 'rawit', 'cabai merah', 'kemiri', 'bawang putih', 'bawang merah', 'merah']"
534,"['sedap', 'keriting', 'daun jeruk', 'ijo', 'jeruk nipis', 'cabai rawit', 'tomat', 'cabai', 'bawang putih']"
535,"['bawang bombay', 'lada bubuk', 'mentega', 'kecap manis', 'cabai merah', 'kecap inggris', 'daun bawang', 'bawang putih', 'bawang merah', 'kepiting', 'saus tomat']"
536,"['tepung maizena', 'tepung terigu', 'ayam', 'jahe', 'bawang putih', 'kaldu bubuk', 'merica', 'susu']"
537,"['iga sapi', 'daun jeruk', 'daun salam', 'kayu manis', 'merica bubuk', 'santan', 'bunga lawang', 'bunga lawang', 'bawang putih', 'bawang merah', 'serai', 'kental']"
538,"['pempek', 'cuko', 'lenjer', 'telur ayam']"
539,"['keju cheddar', 'tepung terigu', 'merica', 'keju', 'mozzarella', 'butter', 'bawang putih', 'nasi putih', 'wortel', 'margarin', 'susu', 'bawang bombay']"
540,"['kecambah', 'terasi', 'muda', 'labu', 'kangkung', 'nangka', 'lengkuas', 'jagung', 'kacang', 'daun salam', 'cabai merah', 'asam', 'bawang putih', 'bawang merah', 'kaldu sapi']"
541,"['daun jeruk', 'telur', 'lengkuas', 'daun salam', 'daun pisang', 'cabai merah', 'cabai rawit', 'daun', 'putih', 'bawang putih', 'bawang merah', 'serai', 'daun kemangi', 'telur ikan']"
542,"['bawang bombay', 'saus tiram', 'saus sambal', 'kaldu ayam', 'cabai merah', 'jahe', 'kecap inggris', 'kecap manis', 'bawang putih', 'kerang dara', 'saus tomat']"
543,"['cabai merah keriting', 'lengkuas', 'daun salam', 'santan', 'cabai merah', 'kepala', 'udang', 'bawang putih', 'bawang merah', 'kentang', 'merah']"
544,"['bubuk', 'plain', 'strawberry', 'putih']"
545,"['plain', 'tepung maizena', 'essen', 'bubuk', 'cream', 'susu', 'vanila', 'skm', 'oreo', 'putih', 'coklat bubuk', 'cokelat', 'susu full cream']"
546,"['jelly', 'warna', 'vanila', 'kuning telur', 'extract', 'coklat bubuk', 'cokelat', 'susu']"
547,"['tepung terigu', 'baking soda', 'telur', 'margarin', 'baking powder']"
548,"['tepung sagu', 'kelapa', 'tani']"
549,"['tepung maizena', 'tepung terigu', 'kol', 'telur', 'mie', 'daun bawang', 'kemiri', 'bawang putih', 'wortel', 'merica', 'tepung beras']"
550,"['sedap', 'lada', 'tepung terigu', 'telur', 'putih telur', 'tepung panir', 'ikan tenggiri']"
551,"['terasi', 'daun pepaya', 'kelapa muda', 'jagung', 'kacang merah', 'santan', 'bawang putih', 'bawang merah', 'kencur', 'ketumbar']"
552,"['daun jeruk', 'telur', 'daun salam', 'daun pisang', 'santan', 'cabai rawit', 'kemiri', 'bawang putih', 'bawang merah', 'daging sapi', 'merah', 'giling', 'ketumbar', 'kental']"
553,"['kacang almond', 'mentega', 'tepung maizena', 'tepung terigu', 'kacang tanah', 'butter', 'telur', 'kacang mete', 'coklat bubuk', 'margarin', 'baking powder']"
554,"['tepung terigu', 'bubuk', 'telur', 'oreo', 'green tea', 'krim', 'baking powder']"
555,"['plain', 'bubuk', 'daun pandan', 'tape ketan hitam', 'susu']"
556,"['wijen', 'saus tiram', 'ayam', 'sawi putih', 'kecap asin', 'kecap manis', 'bakso sapi', 'daun bawang', 'hijau', 'udang', 'bawang putih', 'wortel', 'sawi', 'kwetiau']"
557,"['cabai rawit merah', 'tepung terigu', 'telur', 'daun pisang', 'daun bawang', 'cuko', 'udang', 'bawang putih', 'ikan tenggiri']"
558,"['madu', 'mentega', 'sirup', 'roti tawar', 'bubuk', 'butter', 'kayu manis', 'vanila', 'maple', 'essence', 'susu']"
559,"['daging sapi', 'alpukat', 'kelapa muda', 'nangka', 'keruk', 'biji', 'batu']"
560,"['daun jeruk', 'asam jawa', 'lengkuas', 'daun salam', 'jeruk nipis', 'cabai rawit hijau', 'bawang putih', 'bawang merah', 'serai', 'merah', 'gurame']"
561,"['tepung sagu', 'kembang tahu', 'wijen', 'ayam', 'hela', 'pala', 'telur puyuh', 'daun', 'udang', 'bawang putih', 'kaldu bubuk', 'kucai', 'merica']"
562,"['cheese', 'mentega', 'cream cheese', 'tepung terigu', 'telur', 'butter', 'whipping cream', 'mascarpone', 'susu', 'susu evaporasi']"
563,"['cabai rawit merah', 'terasi', 'cabai merah keriting', 'cabai merah', 'tomat', 'bawang putih', 'bawang merah', 'merah']"
564,"['ayam kampung', 'daun jeruk', 'lengkuas', 'daun salam', 'santan', 'jahe', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'merah', 'merica', 'ketumbar', 'kental']"
565,"['plain', 'biji selasih', 'susu', 'pepaya']"
566,"['biji selasih', 'sirup', 'alpukat', 'pepaya', 'susu kental manis', 'rumput laut', 'keruk', 'masak', 'kaleng', 'cocopandan', 'apel', 'batu', 'anggur', 'merah']"
567,"['lada', 'saus tiram', 'cabai hijau', 'cabai merah', 'brokoli', 'udang', 'bawang putih', 'tomat', 'bunga kol']"
568,"['sirup', 'daging sapi', 'kelapa muda', 'jelly', 'keruk', 'cocopandan', 'susu']"
569,"['jamur tiram', 'daun salam', 'santan', 'cabai merah', 'jinten', 'bawang putih', 'bawang merah', 'merah', 'ketumbar']"
570,"['cabai rawit merah', 'cabai merah keriting', 'kering', 'jahe', 'tomat', 'bawang putih', 'bawang merah', 'teri nasi']"
571,"['cabai rawit merah', 'sedap', 'bawang merah']"
572,"['petis udang', 'kecap manis', 'cabai merah', 'kemiri', 'jahe', 'tomat', 'bawang putih', 'bawang merah', 'merica', 'daging sapi']"
573,"['terasi', 'hati sapi', 'daun jeruk', 'lengkuas', 'daun salam', 'santan', 'cabai merah', 'biji', 'kemiri', 'bawang putih', 'bawang merah', 'merah']"
574,"['lalap', 'sayur', 'iga sapi', 'daun jeruk', 'lengkuas', 'jahe', 'kunyit', 'bawang putih', 'bawang merah', 'ketumbar']"
575,"['cabai rawit merah', 'daun jeruk', 'daun pandan', 'daun salam', 'cabai rawit hijau', 'ikan cakalang', 'cabai merah', 'biji', 'daun bawang', 'kunyit', 'jahe', 'kaldu bubuk', 'bawang putih', 'merah', 'daun kemangi']"
576,"['daun kunyit', 'ayam', 'kaldu ayam', 'daun jeruk', 'bubuk', 'lengkuas', 'jeruk nipis', 'santan', 'jahe', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'merah']"
577,"['lemon', 'pasta', 'jeruk', 'vanilla', 'butter', 'susu bubuk', 'telur', 'icing', 'bubuk', 'susu', 'kulit', 'zestnya', 'zest', 'baking powder']"
