,Ingredient1,Ingredient2,f_x,f_y,f_xy,pmi
12819,seledri,tepung maizena,75,931,1,-0.034101579087512025
43868,daun pandan,mentega,506,276,2,-0.03414454271880473
28756,cabai rawit merah,singkong,582,120,1,-0.03431637878761834
52349,kulit,tempe,213,328,1,-0.034659962367703336
46001,kering,tempe,213,328,1,-0.034659962367703336
34906,ketumbar,tepung tapioka,434,483,3,-0.034803087359002415
16597,daun pandan,tepung terigu,506,2348,17,-0.0349966944533711
3665,bakso,kencur,233,300,1,-0.03517511649603621
36678,cabai merah keriting,timun,851,493,6,-0.03551602166214373
17710,lengkuas,pala bubuk,575,365,3,-0.03600929398586682
10905,bawang merah,nasi,4710,104,7,-0.03627812537065734
19637,butter cream,jeruk nipis,80,875,1,-0.036604709305630596
27450,cabai rawit,muda,1087,322,5,-0.03664470850565194
52970,lada bubuk,timun,284,493,2,-0.03669041991808536
42928,daging giling,telur,65,2156,2,-0.03760420963871414
7509,dada ayam,tepung terigu,388,2348,13,-0.03772935138385831
4347,bubuk,cabai merah keriting,995,282,4,-0.03870963525095025
10379,lemon,putih,99,709,1,-0.039329564940851956
26019,cabai merah keriting,nanas,851,165,2,-0.03956461018814399
12557,daun bawang,teriyaki,1463,48,1,-0.03979960020214972
25785,kering,susu bubuk,213,330,1,-0.04073900844408555
2222,kismis,kunyit,66,1065,1,-0.04073900844408555
66311,daging kambing,merica bubuk,85,827,1,-0.04081013978814229
1228,ebi,merica bubuk,170,827,2,-0.04081013978814229
13395,ikan,serai,114,2467,4,-0.04101639207809608
64913,kuning telur,sayur,393,179,1,-0.04154960598415072
235,cabai merah,serai,1597,2467,56,-0.041642762283354416
127,kangkung,kemiri,59,1193,1,-0.04211805427777005
14150,mayonaise,tepung terigu,60,2348,2,-0.042870750884277
252,bawang merah,merah,4710,1527,102,-0.043884867218959366
35592,daging sapi,soun,1037,136,2,-0.0439491016797686
5516,cabai,daun salam,216,980,3,-0.04457287895480748
1988,aren,daun salam,72,980,1,-0.04457287895480748
20804,ikan,margarin,114,619,1,-0.04465790935322609
